time, pm2.5, pm10
2018-05-17 20:13:56.761407,23,24
2018-05-17 20:14:01.810673,24,25
2018-05-17 20:14:06.859794,21,22
2018-05-17 20:14:11.910154,20,21
2018-05-17 20:14:16.960039,21,22
2018-05-17 20:14:22.009900,23,24
2018-05-17 20:14:27.060329,22,23
2018-05-17 20:14:32.111070,21,22
2018-05-17 20:14:37.161923,23,24
2018-05-17 20:14:42.212843,27,29
2018-05-17 20:14:47.263973,26,28
2018-05-17 20:14:52.315345,22,23
2018-05-17 20:14:57.366815,20,21
2018-05-17 20:15:02.418273,23,24
2018-05-17 20:15:07.469986,26,28
2018-05-17 20:15:12.521738,26,28
2018-05-17 20:15:17.573508,25,27
2018-05-17 20:15:22.625470,28,30
2018-05-17 20:15:27.677708,31,33
2018-05-17 20:15:32.729942,29,31
2018-05-17 20:15:37.782351,25,27
2018-05-17 20:15:42.835188,24,25
2018-05-17 20:15:47.887437,24,25
2018-05-17 20:15:52.941010,25,27
2018-05-17 20:15:57.994888,29,31
2018-05-17 20:16:03.048919,36,38
2018-05-17 20:16:08.103422,38,40
2018-05-17 20:16:13.157697,32,34
2018-05-17 20:16:18.212059,25,27
2018-05-17 20:16:23.266699,23,24
2018-05-17 20:16:28.322933,23,24
2018-05-17 20:16:33.378113,24,25
2018-05-17 20:16:38.432344,25,27
2018-05-17 20:16:43.488222,26,28
2018-05-17 20:16:48.545606,25,27
2018-05-17 20:16:53.602652,24,25
2018-05-17 20:16:58.662800,20,21
2018-05-17 20:17:03.719199,18,19
2018-05-17 20:17:08.775317,20,21
2018-05-17 20:17:13.833223,21,22
2018-05-17 20:17:18.892284,22,23
2018-05-17 20:17:23.949929,22,23
2018-05-17 20:17:29.020435,23,24
2018-05-17 20:17:34.082325,22,23
2018-05-17 20:17:39.141104,23,24
2018-05-17 20:17:44.199204,25,27
2018-05-17 20:17:49.257640,26,28
2018-05-17 20:17:54.317047,23,24
2018-05-17 20:17:59.376911,19,20
2018-05-17 20:18:04.441337,20,21
2018-05-17 20:18:09.505131,20,21
2018-05-17 20:18:14.565359,17,18
2018-05-17 20:18:19.629807,19,20
2018-05-17 20:18:24.690157,22,23
2018-05-17 20:18:29.750241,23,24
2018-05-17 20:18:34.815663,21,22
2018-05-17 20:18:39.880436,19,20
2018-05-17 20:18:44.943876,19,20
2018-05-17 20:18:50.004107,18,19
2018-05-17 20:18:55.069911,18,19
2018-05-17 20:19:00.130441,22,23
2018-05-17 20:19:05.191106,26,28
2018-05-17 20:19:10.252393,26,28
2018-05-17 20:19:15.315056,25,27
2018-05-17 20:19:20.376869,24,25
2018-05-17 20:19:25.438798,23,24
2018-05-17 20:19:30.503531,21,22
2018-05-17 20:19:35.565868,23,24
2018-05-17 20:19:40.629128,29,31
2018-05-17 20:19:45.693398,29,31
2018-05-17 20:19:50.760649,27,29
2018-05-17 20:19:55.824450,28,30
2018-05-17 20:20:00.889808,29,31
2018-05-17 20:20:05.952822,30,32
2018-05-17 20:20:11.012888,32,34
2018-05-17 20:20:16.077249,33,35
2018-05-17 20:20:21.143061,30,32
2018-05-17 20:20:26.212892,27,29
2018-05-17 20:20:31.280402,24,25
2018-05-17 20:20:36.345453,26,28
2018-05-17 20:20:41.410839,36,38
2018-05-17 20:20:46.475698,46,48
2018-05-17 20:20:51.535861,67,69
2018-05-17 20:20:56.601959,139,142
2018-05-17 20:21:01.668300,223,227
2018-05-17 20:21:06.728687,233,237
2018-05-17 20:21:11.793511,200,204
2018-05-17 20:21:16.858165,178,181
2018-05-17 20:21:21.923509,152,155
2018-05-17 20:21:26.988810,129,132
2018-05-17 20:21:32.054085,128,131
2018-05-17 20:21:37.119496,131,134
2018-05-17 20:21:42.185947,116,119
2018-05-17 20:21:47.251644,83,85
2018-05-17 20:21:52.318140,79,81
2018-05-17 20:21:57.385970,89,91
2018-05-17 20:22:02.453085,92,94
2018-05-17 20:22:07.519417,89,91
2018-05-17 20:22:12.586238,83,85
2018-05-17 20:22:17.653206,70,72
2018-05-17 20:22:22.720120,58,60
2018-05-17 20:22:27.787470,57,59
2018-05-17 20:22:32.855214,65,67
2018-05-17 20:22:37.923355,67,69
2018-05-17 20:22:42.991210,53,55
2018-05-17 20:22:48.059393,36,38
2018-05-17 20:22:53.128241,35,37
2018-05-17 20:22:58.197177,39,41
2018-05-17 20:23:03.266860,46,48
2018-05-17 20:23:08.331600,45,47
2018-05-17 20:23:13.400877,37,39
2018-05-17 20:23:18.470502,33,35
2018-05-17 20:23:23.540201,35,37
2018-05-17 20:23:28.609808,37,39
2018-05-17 20:23:33.679966,37,39
2018-05-17 20:23:38.750634,34,36
2018-05-17 20:23:43.821303,33,35
2018-05-17 20:23:48.887694,32,34
2018-05-17 20:23:53.958665,28,30
2018-05-17 20:23:59.030261,25,27
2018-05-17 20:24:04.101578,25,27
2018-05-17 20:24:09.166894,24,25
2018-05-17 20:24:14.238665,25,27
2018-05-17 20:24:19.306260,26,28
2018-05-17 20:24:24.378682,26,28
2018-05-17 20:24:29.447698,24,25
2018-05-17 20:24:34.524364,25,27
2018-05-17 20:24:39.599029,27,29
2018-05-17 20:24:44.674417,28,30
